"Story","Title","Result","Date","Stability","Duration (s)"
"Search for product","Search with queries which has less than 2 characters","SUCCESS","2023-05-19T22:31:24.9840964+07:00[Asia/Saigon]","0.0","49.01"
"Search for product","Search with queries which has less than 2 characters","SUCCESS","2023-05-19T22:31:24.9840964+07:00[Asia/Saigon]","0.0","49.01"
"Search for product","Search with queries which has less than 2 characters","SUCCESS","2023-05-19T22:31:24.9840964+07:00[Asia/Saigon]","0.0","49.01"
"Search for product","Search with queries which has less than 2 characters","SUCCESS","2023-05-19T22:31:24.9840964+07:00[Asia/Saigon]","0.0","49.01"
"Search for product","Search with invalid queries","SUCCESS","2023-05-19T22:32:14.0182723+07:00[Asia/Saigon]","0.0","26.83"
"Search for product","Search with invalid queries","FAILURE","2023-05-19T22:32:14.0182723+07:00[Asia/Saigon]","0.0","26.83"
"Search for product","Search with invalid queries","SUCCESS","2023-05-19T22:32:14.0182723+07:00[Asia/Saigon]","0.0","26.83"
"Search for product","Search with valid queries","SUCCESS","2023-05-19T22:32:40.8562798+07:00[Asia/Saigon]","0.0","36.38"
"Search for product","Search with valid queries","SUCCESS","2023-05-19T22:32:40.8562798+07:00[Asia/Saigon]","0.0","36.38"
"Search for product","Search with valid queries","SUCCESS","2023-05-19T22:32:40.8562798+07:00[Asia/Saigon]","0.0","36.38"
"Search for product","Search with valid queries","SUCCESS","2023-05-19T22:32:40.8562798+07:00[Asia/Saigon]","0.0","36.38"
"Search for product","Check search result in result page with paging buttons","SUCCESS","2023-05-19T22:33:34.445789+07:00[Asia/Saigon]","0.0","8.27"
